COD_EMPRESA;COD_FILIAL;PORTE;B_SOCIO;B_PEDIDO_DEMISSAO;QNT_MESES_ASSOC;PAGO_EM_DIA;PAGO_EM_DIA_POSTERGADO;PAGO_EM_ATRASO;EM_ABERTO;CAT_CARGO1;CAT_CARGO2;CAT_CARGO3;GRUPO1;GRUPO2;GRUPO3;GRUPO4;GRUPO5;GRUPO6;GRUPO7;GRUPO8;GRUPO9;GRUPO10;GRUPO11;TOTAL_PART_EVENTOS;MESES_SEM_PART
P |01|01||56998982|0001|;P |01|01|01|;G;1;0;6;2;0;7;0;26;9;56;3;18;13;1;0;44;11;0;1;0;0;91;0
P |01|01||53039830|0001|;P |01|01|01|;P;1;0;6;2;1;27;1;2;0;3;0;0;1;0;0;3;1;0;0;0;0;5;2
P |01|01||49930514|1638|;P |01|01|09|;P;0;1;26;0;0;4;0;0;2;17;1;7;0;0;1;10;0;0;0;0;0;19;0
P |01|01||12946593|0001|;P |01|01|01|;P;0;1;161;0;0;14;0;2;5;26;0;6;0;0;1;24;1;0;0;1;0;33;0
P |01|01||10221279|0004|;P |01|01|15|;P;0;1;42;0;0;4;0;1;3;35;6;6;1;1;24;1;0;0;0;0;0;39;2
P |01|01||03928516|0001|;P |01|01|04|;M;0;1;30;0;0;5;0;0;0;9;0;3;1;1;0;4;0;0;0;0;0;9;4
P |01|01||01628751|0002|;P |01|01|04|;P;1;0;6;4;0;5;0;0;5;59;13;24;1;4;3;16;3;0;0;0;0;64;0
P |01|01||70177142|0001|;P |01|01|05|;P;1;0;6;5;3;22;1;1;8;40;5;10;5;3;1;21;4;0;0;0;0;49;1
P |01|01||18579855|0001|;P |01|01|04|;P;0;1;8;1;0;4;0;0;0;15;0;7;0;1;0;7;0;0;0;0;0;15;2
P |01|01||61067377|0001|;P |01|01|01|;M;1;0;6;17;8;1;1;1;1;1;0;2;0;0;0;0;1;0;0;0;0;3;2
P |01|01||56994700|0001|;P |01|01|01|;M;1;0;6;7;0;0;0;8;7;45;9;16;3;7;0;24;1;0;0;0;0;60;2
P |01|01||60316817|0001|;P |01|01|01|;M;1;0;6;7;0;2;0;4;3;47;3;16;6;0;1;15;6;0;7;0;0;54;1
P |01|01||61576369|0001|;P |01|01|01|;M;1;0;6;15;9;3;2;7;2;90;5;20;9;4;0;52;8;0;1;0;0;99;1
P |01|01||33325184|0001|;P |01|01|01|;M;1;0;6;16;7;7;0;6;0;0;2;3;0;0;0;0;1;0;0;0;0;6;2
P |01|01||90627332|0001|;P |01|01|04|;M;1;0;6;9;3;7;1;10;21;16;0;17;1;2;0;26;1;0;0;0;0;47;0
P |01|01||40432544|0102|;P |01|01|05|;M;1;0;6;6;0;3;0;0;22;27;6;6;12;0;3;22;0;0;0;0;0;49;0
P |01|01||01694638|0001|;P |01|01|04|;M;1;0;6;2;0;1;0;8;24;17;6;14;1;9;3;14;1;0;0;1;0;49;0
P |01|01||07308868|0001|;P |01|01|03|;P;1;0;6;11;4;2;1;19;1;7;0;2;6;0;4;14;1;0;0;0;0;27;0
P |01|01||35402759|0001|;P |01|01|01|;G;1;0;6;3;0;0;0;2;2;3;3;0;0;0;0;3;1;0;0;0;0;7;0
P |01|01||02977112|0001|;P |01|01|06|;P;0;1;6;4;2;0;3;1;0;5;0;4;0;0;1;1;0;0;0;0;0;6;0
P |01|01||03447242|0002|;P |01|01|11|;M;1;0;6;2;0;0;0;22;5;81;0;24;4;1;25;54;0;0;0;0;0;108;2
